ID,Lat,Lon,Col,Row,Date,O3_ppb,PM25_Primary_ugm3,PM25_Secondary_ugm3
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 18:00:00,39.306812286377,9.94128513336182,9.94128513336182
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 19:00:00,42.8900108337402,9.32537269592285,9.32537269592285
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 20:00:00,43.9383506774902,9.19836616516113,9.19836616516113
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 21:00:00,38.6768493652344,10.6332693099976,10.6332693099976
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 22:00:00,28.560697555542,14.052396774292,14.052396774292
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-19 23:00:00,21.1967105865479,18.3063735961914,18.3063735961914
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 00:00:00,15.6774816513062,22.1389274597168,22.1389274597168
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 01:00:00,10.657732963562,25.3156929016113,25.3156929016113
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 02:00:00,5.8971152305603,27.9535961151123,27.9535961151123
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 03:00:00,3.50794720649719,30.2621479034424,30.2621479034424
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 04:00:00,3.79464268684387,32.5182571411133,32.5182571411133
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 05:00:00,6.01034355163574,33.7699432373047,33.7699432373047
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 06:00:00,8.70998191833496,35.8676071166992,35.8676071166992
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 07:00:00,11.6641550064087,36.5322456359863,36.5322456359863
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 08:00:00,16.5826854705811,33.5313415527344,33.5313415527344
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 09:00:00,18.0598030090332,31.9279804229736,31.9279804229736
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 10:00:00,19.135555267334,30.0722846984863,30.0722846984863
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 11:00:00,17.4696292877197,30.2471446990967,30.2471446990967
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 12:00:00,13.3283433914185,32.3742866516113,32.3742866516113
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 13:00:00,12.4747743606567,32.9907722473145,32.9907722473145
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 14:00:00,14.914363861084,32.2489013671875,32.2489013671875
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 15:00:00,18.2924690246582,30.8830718994141,30.8830718994141
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 16:00:00,23.9116821289062,22.6925086975098,22.6925086975098
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 17:00:00,29.2651462554932,14.974292755127,14.974292755127
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 18:00:00,34.3447036743164,11.4646272659302,11.4646272659302
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 19:00:00,36.8612480163574,10.8902158737183,10.8902158737183
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 20:00:00,34.7384338378906,11.9902791976929,11.9902791976929
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 21:00:00,28.1248302459717,15.3138837814331,15.3138837814331
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 22:00:00,25.5776195526123,17.3769874572754,17.3769874572754
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-20 23:00:00,24.8243999481201,18.4145431518555,18.4145431518555
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 00:00:00,23.9383907318115,19.579626083374,19.579626083374
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 01:00:00,21.2051105499268,20.7644214630127,20.7644214630127
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 02:00:00,21.9278984069824,19.9196529388428,19.9196529388428
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 03:00:00,15.8933343887329,21.6540851593018,21.6540851593018
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 04:00:00,13.0614252090454,22.5396003723145,22.5396003723145
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 05:00:00,13.6428594589233,21.8661422729492,21.8661422729492
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 06:00:00,12.2563047409058,20.7264823913574,20.7264823913574
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 07:00:00,10.720591545105,16.9879875183105,16.9879875183105
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 08:00:00,9.73495674133301,14.2559432983398,14.2559432983398
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 09:00:00,10.839617729187,12.658203125,12.658203125
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 10:00:00,14.6611995697021,11.8837060928345,11.8837060928345
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 11:00:00,17.8548355102539,12.1358242034912,12.1358242034912
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 12:00:00,19.1441097259521,11.7230386734009,11.7230386734009
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 13:00:00,19.5977993011475,9.86110591888428,9.86110591888428
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 14:00:00,19.4254035949707,7.28358888626099,7.28358888626099
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 15:00:00,18.1385517120361,4.8972053527832,4.8972053527832
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 16:00:00,15.9588079452515,2.90448069572449,2.90448069572449
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 17:00:00,13.9573678970337,1.48899245262146,1.48899245262146
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 18:00:00,12.7984867095947,0.892772436141968,0.892772436141968
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 19:00:00,11.4377422332764,0.84894847869873,0.84894847869873
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 20:00:00,10.0295991897583,1.19092309474945,1.19092309474945
Chapel Hill,35.9131996,-79.0558445,121,50,2010-01-21 21:00:00,11.2505931854248,1.84209644794464,1.84209644794464
